HUMAN,Monday A BHS,Monday A Red,Monday A Blue,Tuesday A BHS,Tuesday  A Red,Tuesday A Blue,Wednesday A BHS,Wednesday A Red,Wednesday A Blue,Thursday A BHS,Thursday A Red,Thursday A Blue,Friday A BHS,Friday A Red,Friday A Blue,Monday B BHS,Monday B Red,Monday B Blue,Tuesday B BHS,Tuesday B Red,Tuesday B Blue,Wednesday B BHS,Wednesday B Red,Wednesday B Blue,Thursday B BHS,Thursday B Red,Thursday B Blue,Friday B  BHS,Friday B Red,Friday B Blue
9:14 AM,A1,A1,B1,C1,C1,P,A2,A2,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,A5,A6,A6,B6,FC,FC,FC,A7,A7,A7
9:15 AM,A1,A1,B1,C1,C1,E2,P,P,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,A5,A6,A6,B6,FC,FC,FC,A7,A7,A7
9:16 AM,A1,A1,B1,C1,C1,E2,P,P,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,A5,A6,A6,B6,FC,FC,FC,A7,A7,A7
9:17 AM,A1,A1,B1,C1,C1,E2,P,P,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,A5,A6,A6,B6,FC,FC,FC,A7,A7,A7
9:18 AM,A1,A1,B1,C1,C1,E2,P,P,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,A5,A6,A6,B6,FC,FC,FC,A7,A7,A7
9:19 AM,A1,A1,B1,C1,C1,E2,P,P,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,A5,A6,A6,B6,FC,FC,FC,A7,A7,A7
9:20 AM,P,P,B1,C1,P,E2,B2,B2,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,A5,P,P,B6,FC,FC,FC,A7,A7,P
9:21 AM,P,P,B1,C1,P,E2,B2,B2,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,A5,P,P,B6,FC,FC,FC,A7,A7,P
9:22 AM,P,P,B1,C1,P,E2,B2,B2,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,A5,P,P,B6,FC,FC,FC,A7,A7,P
9:23 AM,P,P,B1,C1,P,E2,B2,B2,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,A5,P,P,B6,FC,FC,FC,A7,A7,P
